"medida1","medida2","medida3"
812,811,808
800,797,799
784,784,782
767,766,767
755,754,755
734,731,733
723,724,725
713,712,714
697,696,699
684,687,685
664,663,665
575,573,576
566,567,566
553,555,564
545,544,542
533,536,534
523,525,526
516,516,512
505,502,507
495,497,498
485,481,480
476,471,472
466,468,466
460,460,458
450,451,450
441,441,440
433,434,433
425,425,424
417,416,416
409,409,408
403,402,401
395,393,394
44.7,44.4,44.2
44.5,44.3,44.4
42.5,42.4,42.3
40.4,40.6,40.5
36.2,36.6,36.5
35.9,36,35.9
35.4,35.5,35.3
34.8,34.2,34.8
34,34.3,34.1
33.5,33.3,33.6
33,32.9,33.1
32.3,32.4,32.2
