'time', 'Temp'
'0:11:44', 20.90
'0:11:46', 21.00
'0:11:48', 21.10
'0:11:50', 21.10
'0:11:53', 21.10
'0:11:55', 21.10
'0:11:57', 21.10
'0:11:59', 21.10
'0:12:1', 21.10
'0:12:3', 21.10
'0:12:5', 21.10
'0:12:7', 21.10
'0:12:9', 21.10
'0:12:12', 21.10
'0:12:14', 21.10
'0:12:16', 21.10
'0:12:18', 21.10
'0:12:20', 21.10
'0:12:22', 21.00
'0:12:24', 21.10
'0:12:26', 21.10
'0:12:29', 21.10
'0:12:31', 21.10
'0:12:33', 21.10
'0:12:35', 21.10
'0:12:37', 21.20
'0:12:39', 21.20
'0:12:41', 21.30
'0:12:43', 21.40
'0:12:46', 21.30
'0:12:48', 21.50
'0:12:50', 21.50
'0:12:52', 21.50
'0:12:54', 21.50
'0:12:56', 21.60
'0:12:58', 21.60
'0:13:0', 21.60
'0:13:3', 21.60
'0:13:5', 21.80
'0:13:7', 21.70
'0:13:9', 21.80
'0:13:11', 21.70
'0:13:13', 21.80
'0:13:15', 21.70
'0:13:17', 21.80
'0:13:20', 21.80
'0:13:22', 21.80
'0:13:24', 21.80
'0:13:26', 21.80
'0:13:28', 21.80
'0:13:30', 21.80
'0:13:32', 21.90
'0:13:34', 21.70
'0:13:37', 21.70
'0:13:39', 21.80
'0:13:41', 21.90
'0:13:43', 21.80
'0:13:45', 21.80
'0:13:47', 21.80
'0:13:49', 21.80
'0:13:51', 21.80
'0:13:54', 22.00
'0:13:56', 22.00
'0:13:58', 22.00
'0:14:0', 22.00
'0:14:2', 22.00
'0:14:4', 22.00
'0:14:6', 22.00
'0:14:8', 22.10
'0:14:11', 22.10
'0:14:13', 22.10
'0:14:15', 22.10
'0:14:17', 22.10
'0:14:19', 22.10
'0:14:21', 22.10
'0:14:23', 22.00
'0:14:25', 22.00
'0:14:28', 22.10
'0:14:30', 22.10
'0:14:32', 22.10
'0:14:34', 22.10
'0:14:36', 22.10
'0:14:38', 22.10
'0:14:40', 22.10
'0:14:42', 22.20
'0:14:44', 22.20
'0:14:47', 22.40
'0:14:49', 22.40
'0:14:51', 22.50
'0:14:53', 22.40
'0:14:55', 22.60
'0:14:57', 22.50
'0:14:59', 22.60
'0:15:1', 22.60
'0:15:4', 22.60
'0:15:6', 22.70
'0:15:8', 22.70
'0:15:10', 22.80
'0:15:12', 22.70
'0:15:14', 22.70
'0:15:16', 22.80
'0:15:18', 22.70
'0:15:21', 22.60
'0:15:23', 22.70
'0:15:25', 22.70
'0:15:27', 22.70
'0:15:29', 22.60
'0:15:31', 22.70
'0:15:33', 22.60
'0:15:35', 22.70
'0:15:38', 22.60
'0:15:40', 22.70
'0:15:42', 22.60
'0:15:44', 22.70
'0:15:46', 22.60
'0:15:48', 22.70
'0:15:50', 22.60
'0:15:52', 22.70
'0:15:55', 22.50
'0:15:57', 22.50
'0:15:59', 22.40
'0:16:1', 22.60
'0:16:3', 22.40
'0:16:5', 22.60
'0:16:7', 22.30
'0:16:9', 22.60
'0:16:12', 22.40
'0:16:14', 22.60
'0:16:16', 22.50
'0:16:18', 22.50
'0:16:20', 22.90
'0:16:22', 22.80
'0:16:24', 23.10
'0:16:26', 23.10
'0:16:29', 23.00
'0:16:31', 23.10
'0:16:33', 23.00
'0:16:35', 23.10
'0:16:37', 23.00
'0:16:39', 23.10
'0:16:41', 23.10
'0:16:43', 23.10
'0:16:46', 23.00
'0:16:48', 23.30
'0:16:50', 22.90
'0:16:52', 23.30
'0:16:54', 22.90
'0:16:56', 23.00
'0:16:58', 22.90
'0:17:0', 23.10
'0:17:3', 22.90
'0:17:5', 23.10
'0:17:7', 22.90
'0:17:9', 23.20
'0:17:11', 23.10
'0:17:13', 23.20
'0:17:15', 23.00
'0:17:17', 23.20
'0:17:20', 23.00
'0:17:22', 23.20
'0:17:24', 23.10
'0:17:26', 23.20
'0:17:28', 23.20
'0:17:30', 23.10
'0:17:32', 23.10
'0:17:34', 23.10
'0:17:37', 23.20
'0:17:39', 23.10
'0:17:41', 23.10
'0:17:43', 23.10
'0:17:45', 23.10
'0:17:47', 23.10
'0:17:49', 23.00
'0:17:51', 23.10
'0:17:54', 23.10
'0:17:56', 23.00
'0:17:58', 23.10
'0:18:0', 23.10
'0:18:2', 23.10
'0:18:4', 23.00
'0:18:6', 23.10
'0:18:8', 23.10
'0:18:10', 23.10
'0:18:13', 23.10
'0:18:15', 23.10
'0:18:17', 23.10
'0:18:19', 23.10
'0:18:21', 23.00
'0:18:23', 23.10
'0:18:25', 23.00
'0:18:27', 23.10
'0:18:30', 23.10
'0:18:32', 23.10
'0:18:34', 23.10
'0:18:36', 23.10
'0:18:38', 23.00
'0:18:40', 23.00
'0:18:42', 23.10
'0:18:44', 23.10
'0:18:47', 23.00
'0:18:49', 23.10
'0:18:51', 23.10
'0:18:53', 23.00
'0:18:55', 23.10
'0:18:57', 23.10
'0:18:59', 23.10
'0:19:1', 23.10
'0:19:4', 23.10
'0:19:6', 23.10
'0:19:8', 23.10
'0:19:10', 23.10
'0:19:12', 23.10
'0:19:14', 23.10
'0:19:16', 23.10
'0:19:18', 23.10
'0:19:21', 23.10
'0:19:23', 23.10
'0:19:25', 23.10
'0:19:27', 23.10
