'time', 'Temp'
'0:2:44', nan
'0:2:46', 27.00
'0:2:48', 27.00
'0:2:50', 27.00
'0:2:53', 26.90
'0:2:55', 26.90
'0:2:57', 26.90
'0:2:59', 26.80
'0:3:1', 26.80
'0:3:3', 26.80
'0:3:5', 26.70
'0:3:7', 26.70
'0:3:10', 26.60
'0:3:12', 26.60
'0:3:14', 26.60
'0:3:16', 26.50
'0:3:18', 26.50
'0:3:20', 26.40
'0:3:22', 26.40
'0:3:24', 26.40
'0:3:27', 26.30
'0:3:29', 26.30
'0:3:31', 26.20
'0:3:33', 26.20
'0:3:35', 26.20
'0:3:37', 26.10
'0:3:39', 26.10
'0:3:41', 26.10
'0:3:44', 26.10
'0:3:46', 26.00
'0:3:48', 26.00
'0:3:50', 25.90
'0:3:52', 25.90
'0:3:54', 25.90
'0:3:56', 25.90
'0:3:59', 25.90
'0:4:1', 25.80
'0:4:3', 25.80
'0:4:5', 25.80
'0:4:7', 25.80
'0:4:9', 25.80
'0:4:11', 25.70
'0:4:13', 25.70
'0:4:16', 25.70
'0:4:18', 25.60
'0:4:20', 25.70
'0:4:22', 25.60
'0:4:24', 25.60
'0:4:26', 25.60
'0:4:28', 25.60
'0:4:30', 25.60
'0:4:33', 25.50
'0:4:35', 25.40
'0:4:37', 25.40
'0:4:39', 25.40
'0:4:41', 25.40
'0:4:43', 25.40
'0:4:45', 25.40
'0:4:47', 25.40
'0:4:50', 25.40
'0:4:52', 25.30
'0:4:54', 25.30
'0:4:56', 25.30
'0:4:58', 25.30
'0:5:0', nan
'0:5:2', 25.20
'0:5:5', 25.20
'0:5:7', 25.20
'0:5:9', 25.20
'0:5:11', 25.20
'0:5:13', 25.20
'0:5:15', 25.10
'0:5:17', 25.10
'0:5:19', 25.10
'0:5:22', 25.00
'0:5:24', 25.00
'0:5:26', 25.00
'0:5:28', 25.00
'0:5:30', 24.90
'0:5:32', 24.90
'0:5:34', 24.90
'0:5:36', 24.80
'0:5:39', 24.90
'0:5:41', 24.90
'0:5:43', 24.90
'0:5:45', 24.90
'0:5:47', 24.80
'0:5:49', 24.80
'0:5:51', 24.90
'0:5:53', 24.80
'0:5:56', 24.80
'0:5:58', 24.80
'0:6:0', 24.80
'0:6:2', 24.80
'0:6:4', 24.70
'0:6:6', 24.70
'0:6:8', 24.70
'0:6:11', 24.70
'0:6:13', 24.70
'0:6:15', 24.70
'0:6:17', 24.70
'0:6:19', 24.60
'0:6:21', 24.70
'0:6:23', 24.60
'0:6:25', 24.60
'0:6:28', 24.60
'0:6:30', 24.60
'0:6:32', 24.60
'0:6:34', 24.60
'0:6:36', 24.60
'0:6:38', 24.50
'0:6:40', 24.60
'0:6:42', 24.50
'0:6:45', 24.50
'0:6:47', 24.60
'0:6:49', 24.50
'0:6:51', 24.50
'0:6:53', 24.50
'0:6:55', 24.50
'0:6:57', 24.50
'0:7:0', 24.50
'0:7:2', 24.50
'0:7:4', 24.50
'0:7:6', 24.50
'0:7:8', 24.50
'0:7:10', 24.40
'0:7:12', 24.40
'0:7:14', 24.40
'0:7:17', 24.40
'0:7:19', 24.40
'0:7:21', 24.40
'0:7:23', 24.40
'0:7:25', 24.40
'0:7:27', 24.40
'0:7:29', 24.30
'0:7:31', 24.40
'0:7:34', 24.40
'0:7:36', 24.30
'0:7:38', 24.30
'0:7:40', 24.30
'0:7:42', 24.30
'0:7:44', 24.40
'0:7:46', 24.30
'0:7:48', 24.30
'0:7:51', 24.20
'0:7:53', 24.30
'0:7:55', 24.30
'0:7:57', 24.20
'0:7:59', 24.20
