'time', 'Temp'
'0:5:16', 26.60
'0:5:18', 26.50
'0:5:21', 26.60
'0:5:23', 26.50
'0:5:25', 26.50
'0:5:27', 26.50
'0:5:29', 26.60
'0:5:31', 26.60
'0:5:33', 26.60
'0:5:35', 26.50
'0:5:38', 26.60
'0:5:40', 26.50
'0:5:42', 26.50
'0:5:44', 26.50
'0:5:46', 26.50
'0:5:48', 26.50
'0:5:50', 26.40
'0:5:53', 26.40
'0:5:55', 26.40
'0:5:57', 26.30
'0:5:59', 26.30
'0:6:1', 26.30
'0:6:3', 26.30
'0:6:5', 26.20
'0:6:7', 26.20
'0:6:10', 26.20
'0:6:12', 26.20
'0:6:14', 26.20
'0:6:16', 26.10
'0:6:18', 26.10
'0:6:20', 26.10
'0:6:22', 26.10
'0:6:24', 26.10
'0:6:27', 26.00
'0:6:29', 26.00
'0:6:31', 25.90
'0:6:33', 25.90
'0:6:35', 25.90
'0:6:37', 25.90
'0:6:39', 25.80
'0:6:41', 25.80
'0:6:44', 25.80
'0:6:46', 25.80
'0:6:48', 25.70
'0:6:50', 25.70
'0:6:52', 25.70
'0:6:54', 25.70
'0:6:56', 25.70
'0:6:58', 25.70
'0:7:1', 25.70
'0:7:3', 25.60
'0:7:5', 25.60
'0:7:7', 25.60
'0:7:9', 25.60
'0:7:11', 25.60
'0:7:13', 25.50
'0:7:16', 25.40
'0:7:18', 25.50
'0:7:20', 25.40
'0:7:22', 25.40
'0:7:24', 25.40
'0:7:26', 25.40
'0:7:28', 25.40
'0:7:30', 25.40
'0:7:33', 25.40
'0:7:35', 25.40
'0:7:37', 25.40
'0:7:39', 25.40
'0:7:41', 25.40
'0:7:43', 25.40
'0:7:45', 25.40
'0:7:47', 25.40
'0:7:50', 25.40
'0:7:52', 25.40
'0:7:54', 25.40
'0:7:56', 25.40
'0:7:58', 25.40
'0:8:0', 25.40
'0:8:2', 25.40
'0:8:5', 25.40
'0:8:7', 25.40
'0:8:9', 25.40
'0:8:11', 25.40
'0:8:13', 25.40
'0:8:15', 25.40
'0:8:17', 25.40
'0:8:19', 25.30
'0:8:22', 25.30
'0:8:24', 25.40
'0:8:26', 25.40
'0:8:28', 25.30
'0:8:30', 25.30
'0:8:32', 25.20
'0:8:34', 25.10
'0:8:36', 25.00
'0:8:39', 24.90
'0:8:41', 24.60
'0:8:43', 24.40
'0:8:45', 24.00
'0:8:47', 23.70
'0:8:49', 23.30
'0:8:51', 22.80
'0:8:53', 22.40
'0:8:56', 21.90
'0:8:58', 21.40
'0:9:0', 20.90
'0:9:2', 20.30
'0:9:4', 19.80
'0:9:6', 19.30
'0:9:8', 18.80
'0:9:11', 18.30
'0:9:13', 17.80
'0:9:15', 17.40
'0:9:17', 16.90
'0:9:19', 16.40
'0:9:21', 15.90
'0:9:23', 15.40
'0:9:25', 15.00
'0:9:28', 14.60
'0:9:30', 14.20
'0:9:32', 13.80
'0:9:34', 13.40
'0:9:36', 13.00
'0:9:38', 12.60
'0:9:40', 12.20
'0:9:42', 11.80
'0:9:45', 11.40
'0:9:47', 11.00
'0:9:49', 10.60
'0:9:51', 10.20
'0:9:53', 9.90
'0:9:55', 9.50
'0:9:57', 9.20
'0:9:59', 8.80
'0:10:2', 8.50
'0:10:4', 8.10
'0:10:6', 7.80
'0:10:8', 7.50
'0:10:10', 7.20
'0:10:12', 6.80
'0:10:14', 6.50
'0:10:17', 6.10
'0:10:19', 5.80
'0:10:21', 5.50
'0:10:23', 5.10
'0:10:25', 4.80
'0:10:27', 4.50
'0:10:29', 4.20
'0:10:31', 4.00
'0:10:34', 3.70
'0:10:36', 3.40
'0:10:38', 3.10
'0:10:40', 2.90
'0:10:42', 2.60
'0:10:44', 2.30
'0:10:46', 2.10
'0:10:48', 1.80
'0:10:51', 1.60
'0:10:53', 1.30
'0:10:55', 1.00
'0:10:57', 0.80
'0:10:59', 0.50
'0:11:1', 0.30
'0:11:3', 0.00
'0:11:5', -0.80
'0:11:8', -0.60
'0:11:10', -0.40
'0:11:12', -0.20
'0:11:14', -2.00
'0:11:16', -1.80
'0:11:18', -1.60
'0:11:20', -1.50
'0:11:23', -1.20
'0:11:25', -1.10
'0:11:27', -2.80
'0:11:29', -2.60
'0:11:31', -2.40
'0:11:33', -2.20
'0:11:35', -2.10
'0:11:37', -3.90
'0:11:40', -3.70
'0:11:42', -3.50
'0:11:44', -3.30
'0:11:46', -3.20
'0:11:48', -5.00
'0:11:50', -4.80
'0:11:52', -4.60
'0:11:54', -4.50
'0:11:57', -4.20
'0:11:59', -4.10
'0:12:1', -6.00
'0:12:3', -5.90
'0:12:5', -5.70
'0:12:7', -5.60
'0:12:9', -5.50
'0:12:12', -5.30
'0:12:14', -5.20
'0:12:16', -5.10
'0:12:18', -7.00
'0:12:20', -6.90
'0:12:22', -6.80
'0:12:24', -6.60
'0:12:26', -6.50
'0:12:29', -6.40
'0:12:31', -6.30
'0:12:33', -6.20
'0:12:35', -6.10
'0:12:37', -8.00
'0:12:39', -7.90
'0:12:41', -7.70
'0:12:43', -7.60
'0:12:46', -7.50
'0:12:48', -7.40
'0:12:50', -7.30
'0:12:52', -7.20
'0:12:54', -7.10
'0:12:56', -9.00
'0:12:58', -8.90
'0:13:1', -8.80
'0:13:3', -8.70
'0:13:5', -8.60
'0:13:7', -8.50
'0:13:9', -8.40
'0:13:11', -8.30
'0:13:13', -8.20
'0:13:15', -8.10
'0:13:18', -10.00
'0:13:20', -9.90
'0:13:22', -9.80
'0:13:24', -9.70
'0:13:26', -9.70
'0:13:28', -9.60
'0:13:30', -9.50
'0:13:32', -9.40
'0:13:35', -9.30
'0:13:37', -9.20
'0:13:39', -9.10
'0:13:41', -9.10
'0:13:43', -10.90
'0:13:45', -10.90
'0:13:47', -10.90
'0:13:50', -10.80
'0:13:52', -10.70
'0:13:54', -10.70
